ID,Exchange,RemoteName,CLLIcode,InventoryItem,Route,Size,NumDucts,SubDuct1,SubDuct2,SubDuct3,Length,ConduitType,ConduitClass,WONumber,PostingState,TaxDist,DatePlaced,DateRetired,Ducts,FCCCode,TaxID,Cost,InUse,Color,Trench,LegacyID,DrawName,Handle,Matched_Map,Matched_MapID,Matched_RecordID,CompanyCode,CompanyCodeID,WIRECENTER_Id,TaxDistrict,Name,WONum,Comment,FromJUNCTION_Id,ToJUNCTION_Id,CONDUIT,CONDUIT2,YEAR,TypeSuffix,SizeSuffix,ACADLayer,ACADBlock,ACADFileName
3016,,,,,,2,DUCT,,,,130,,,,FPA,,,,,,,,,,,68108,M:\RT\PNBL\PINE BLUFFS.dwg,29252,,,,RT,,,,,,WHITE DUCT,66383,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3017,PNBL,,,,,1.25,1X3,,,,242,UD,,,FPA,,,,,,,,,,,67340,M:\RT\PNBL\PINE BLUFFS.dwg,204D0,,,,RT,,,,,,,66168,66169,,,2014,,,CONDUIT,_no_Value,PINE BLUFFS
3018,PNBL,,,,,2,DUCT,,,,118,,,,FPA,,,,,,,,,,,68159,M:\RT\PNBL\PINE BLUFFS.dwg,2951B,,,,RT,,,,,,RED DUCT,66404,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3023,,,,,,.75,1X1,,,,1202,BFOV,,,FPA,,,,,,,,,,,66757,M:\RT\BRNS\BURNS.dwg,1704,,,,RT,,,,,,,,,,,2016,,,CONDUIT,_no_Value,BURNS
3025,BRNS,,,,,1.25,1X3,,,,,UD,,,FPA,,,,,,,,,,,58993,M:\RT\BRNS\BRNS-31B1B.dwg,25CB8,,,,ACT,30360,,,,,,38309,,,,15,,,CONDUIT,_no_Value,BURNS
3027,GSHL,,,,RL1K/LC00114,,"2""CBYO",,,,206,,,,FPA,,,,,,,,,,,39233,m:\rt\gshl\GAS HILLS.dwg,110B55,,,,RT,28113,,,,,,,,,,,,,CONDUIT,_no_Value,GAS HILLS
3030,PNBL,,,,,,DUCT,,,,172,,,,FPA,,,,,,,,,,,67947,M:\RT\PNBL\PINE BLUFFS.dwg,27E8E,,,,RT,,,,DROP,,RED DUCT,,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3032,PNBL,,,,,2,SEBO,,,,120,,,,FPA,,,,,,,,,,,68093,M:\RT\PNBL\PINE BLUFFS.dwg,291FE,,,,RT,,,,,,RED DUCT,66379,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3035,BRNS,,,,,1.25,1X3,,,,454,BFOV,,,FPA,,,,,,,,,,,71488,M:\RT\BRNS\BURNS.dwg,5ED46,,,,RT,,,,,,,67876,67875,,,2018,,,CONDUIT,_no_Value,BURNS
3036,,,,,,,DUCT,,,,160,,,,FPA,,,,,,,,,,,67974,M:\RT\PNBL\PINE BLUFFS.dwg,28228,,,,RT,,,,DROP,,RED DUCT,66376,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3038,BRNS,,,,,1.25,1,,,,2212,UD,,,FPA,,,,,,,,,,,58900,m:\rt\brns\burns.dwg,31DE,,,,RT,,,,,,,62599,62600,,,11,,,CONDUIT,_no_Value,BURNS
3042,PNBL,,,,,1.25,1X3,,,,322,UD,,,FPA,,,,,,,,,,,67342,M:\RT\PNBL\PINE BLUFFS.dwg,204F0,,,,RT,,,,,,,66170,66171,,,2014,,,CONDUIT,_no_Value,PINE BLUFFS
3043,PNBL,,,,,2,DUCT,,,,175,,,,FPA,,,,,,,,,,,68191,M:\RT\PNBL\PINE BLUFFS.dwg,2964E,,,,RT,,,,,,SLATE DUCT,66412,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3047,BRNS,,,,6000,3,1X3X1,,,,278,UD,,,FPA,,,,,,,,,,,42686,m:\rt\brns\burns.dwg,7D3E,,,,RT,31802,,,,,,57248,56074,,,5,,,CONDUIT,_no_Value,BURNS
3049,PNBL,,,,,2,DUCT,,,,204,,,,FPA,,,,,,,,,,,68128,M:\RT\PNBL\PINE BLUFFS.dwg,293D5,,,,RT,,,,,,SLATE DUCT,66394,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3050,PNBL,,,,,1.25,1X1,,,,714,,,,FPA,,,,,,,,,,,59134,m:\rt\kayc\KAYCEE.dwg,11DAF5,,,,RT,,,,,,,62689,,,,14,,,CONDUIT,_no_Value,PINE BLUFFS
3056,,,,,,2,DUCT,,,,215,,,,FPA,,,,,,,,,,,68069,M:\RT\PNBL\PINE BLUFFS.dwg,2910D,,,,RT,,,,,,,66465,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3057,,,,,,,DUCT,,,,170,,,,FPA,,,,,,,,,,,67980,M:\RT\PNBL\PINE BLUFFS.dwg,28223,,,,RT,,,,,,WHITE DUCT,66377,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3058,PNBL,,,,,2,DUCT,,,,190,,,,FPA,,,,,,,,,,,68189,M:\RT\PNBL\PINE BLUFFS.dwg,2964C,,,,RT,,,,,,SLATE DUCT,66412,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3059,BRNS,,,,,1.25,1,,,,822,UD,,,FPA,,,,,,,,,,,58898,m:\rt\brns\burns.dwg,31DC,,,,RT,,,,,,,62597,62598,,,11,,,CONDUIT,_no_Value,BURNS
3061,ALBN,,,,7000,0.75,DUCT,,,,150,,,,FPA,,,,,,,,,,,42177,m:\rt\albn\albin.dwg,846A,,,,RT,31267,,,,,,,,,,2005,,,CONDUIT,_no_Value,ALBIN
3062,PNBL,,,,,2,DUCT,,,,66,,,,FPA,,,,,,,,,,,68149,M:\RT\PNBL\PINE BLUFFS.dwg,29459,,,,RT,,,,,,WHITE DUCT,66399,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3063,BRNS,,,,,1.25,1,,,,806,UD,,,FPA,,,,,,,,,,,58919,m:\rt\brns\burns.dwg,85AB,,,,RT,,,,,,,62616,62618,,,11,,,CONDUIT,_no_Value,BURNS
3065,ALBN,,,,5200,,SDR13GRAY,,,,150,,,,FPA,,,,,,,,,,,42412,m:\rt\albn\albin.dwg,4195,,,,RT,31514,,02-0203,,,,56077,,,,6,,,CONDUIT,_no_Value,ALBIN
3066,PNBL,,,,,2,SEBO,,,,133,,,,FPA,,,,,,,,,,,68263,M:\RT\PNBL\PINE BLUFFS.dwg,29952,,,,RT,,,,,,RED DUCT,66354,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3070,PNBL,,,,,2,DUCT,,,,158,,,,FPA,,,,,,,,,,,68227,M:\RT\PNBL\PINE BLUFFS.dwg,29828,,,,RT,,,,,,WHITE DUCT,66349,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3071,BRNS,,,,L-6000,1.25,1X1,,,,344,UD,,,FPA,,,,,,,,,,,66163,m:\rt\brns\burns.dwg,7E8A,,,,RT,30902,,,,,,38065,65534,,,14,,,CONDUIT,_no_Value,BURNS
3072,BRNS,,,,7100,25,BFC,,,,125,,,,FPA,,,,,,,,,,,42745,m:\rt\brns\burns.dwg,5A6,,,,RT,31865,,,,,,57279,57278,,,6,,,CONDUIT,_no_Value,BURNS
3077,PNBL,,,,,2,DUCT,,,,154,,,,FPA,,,,,,,,,,,68072,M:\RT\PNBL\PINE BLUFFS.dwg,28D68,,,,RT,,,,,,,66453,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3078,PNBL,,,,,2,DUCT,,,,195,,,,FPA,,,,,,,,,,,68155,M:\RT\PNBL\PINE BLUFFS.dwg,294A5,,,,RT,,,,,,SLATE DUCT,66400,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3080,,,,,,6,BFC,,,,86,,,,FPA,,,,,,,,,,,3552,M:\Range\HYSHAM.dwg,6613,,,,RANGE,4426,,,HYSM-13A,,,4384,1073,,,1995,,,CONDUIT,_no_Value,BURNS
3081,BRNS,,,,,1.25,1,,,,409,UD,,,FPA,,,,,,,,,,,58895,m:\rt\brns\burns.dwg,390,,,,RT,,,,,,,38507,62595,,,11,,,CONDUIT,_no_Value,BURNS
3082,PNBL,,,,,2,DUCT,,,,160,,,,FPA,,,,,,,,,,,68047,M:\RT\PNBL\PINE BLUFFS.dwg,2905A,,,,RT,,,,,,,62650,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3084,PNBL,,,,,2,DUCT,,,,126,,,,FPA,,,,,,,,,,,68141,M:\RT\PNBL\PINE BLUFFS.dwg,29429,,,,RT,,,,,,RED DUCT,66398,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
3085,PNBL,,,,,2,DUCT,,,,78,,,,FPA,,,,,,,,,,,68226,M:\RT\PNBL\PINE BLUFFS.dwg,29827,,,,RT,,,,,,WHITE DUCT,66349,,,,2017,,,CONDUIT,_no_Value,PINE BLUFFS
