ID,SAName,MapName,ServingArea,PremiseCount,CustomerCount,DSLAvailable,DSLTake,ISPTake,TVAvailable,TVTake,WorkforceArea,StructureLink,Comments
1,BRDS-SPRV,SOUTH BROADUS,SOUTH POWDER RIVER,,,,,,,,,,
14,SHSH-SHSH,SHOSHONI,,,,,,,,,,,
15,SHSH-LTCN,SHOSHONI,,,,,,,,,,,
16,SHSH-LYST,SHOSHONI,,,,,,,,,,,
17,SHSH-BRCR,SHOSHONI,,,,,,,,,,,
18,SHSH-BEYE,SHOSHONI,,,,,,,,,,,
19,SHSH-BYSN,SHOSHONI,,,,,,,,,,,
20,SHSH-LCGP,SHOSHONI,,,,,,,,,,,
22,WRLD-DRKE,WORLAND,,,,,,,,,,,
24,WRLD-SFRD,WORLAND,,,,,,,,,,,
25,WRLD-RSRG,WORLAND,,,,,,,,,,,
26,WRLD-CTWD,WORLAND,,,,,,,,,,,
27,WRLD-LKLN,WORLAND,,,,,,,,,,,
28,WRLD-BYSL,WORLAND,,,,,,,,,,,
29,WRLD-SHPL,WORLAND,,,,,,,,,,,
30,WRLD-FCNL,WORLAND,,,,,,,,,,,
31,WRLD-BHRN,WORLAND,,,,,,,,,,,
32,WRLD-HNVR,WORLAND,,,,,,,,,,,
33,WRLD-WNCH,WORLAND,,,,,,,,,,,
34,WRLD-WRRD,WORLAND,,,,,,,,,,,
35,APRD,WORLAND,,,,,,,,,,,
36,WRLD-RDTH,WORLAND,,,,,,,,,,,
38,WRLD-NWTR,WORLAND,,,,,,,,,,,
39,WRLD-BLUF,WORLAND,,,,,,,,,,,
42,WRLD-SESM,WORLAND,,,,,,,,,,,
45,WRLD-SSES,WORLAND,,,,,,,,,,,
47,WRLD-ARPS,WORLAND,,,,,,,,,,,
48,WRLD-WMCC,WORLAND,,,,,,,,,,,
49,WRLD-PTBR,WORLAND,,,,,,,,,,,
137,WRLD-WRLD,WORLAND,,,,,,,,,,,
170,THRM-BFCR,THERMOPOLIS,,,,,,,,,,,
171,KIRB,THERMOPOLIS,,,,,,,,,,,
173,THRM-KCRS,THERMOPOLIS,,,,,,,,,,,
174,THRM-LCRN,THERMOPOLIS,,,,,,,,,,,
175,THRM-CBMN,THERMOPOLIS,,,,,,,,,,,
176,THRM-ETHM,THERMOPOLIS,,,,,,,,,,,
177,THRM-BKMN,THERMOPOLIS,,,,,,,,,,,
178,THRM-STHM,THERMOPOLIS,,,,,,,,,,,
179,THRM-SNSD,THERMOPOLIS,,,,,,,,,,,
180,THRM-KBCK,THERMOPOLIS,,,,,,,,,,,
181,THRM-NTHM,THERMOPOLIS,,,,,,,,,,,
182,THRM-SGVL,THERMOPOLIS,,,,,,,,,,,
183,THRM-MTVW,THERMOPOLIS,,,,,,,,,,,
184,THRM-MADN,THERMOPOLIS,,,,,,,,,,,
185,THRM-BDWY,THERMOPOLIS,,,,,,,,,,,
186,THRM-RDLN,THERMOPOLIS,,,,,,,,,,,
188,THRM-FRMT,THERMOPOLIS,,,,,,,,,,,
189,THRM-THRM,THERMOPOLIS,,,,,,,,,,,
190,THRM-RDRK,THERMOPOLIS,,,,,,,,,,,
212,BRNY-MIKS,BIRNEY,MIKESELL,,,,,,,,,,
214,BRNY-BVIL,BIRNEY,BIRNEY VILLAGE CXR,,,,,,,,,,
217,ASLD-FTHW,ASHLAND,FORT HOWE,,,,,,,,,,
219,ASLD-OTTR,ASHLAND,OTTER CREEK,,,,,,,,,,
220,ASLD-ASHN,ASHLAND,ASHLAND NORTH,,,,,,,,,,
221,ASLD-ODEL,ASHLAND,ODELL CREEK,,,,,,,,,,
228,UPTN-SODA,UPTON,SODA,,,,,,,,,,
229,UPTN-THRN,UPTON,THRN,,,,,,,,,,
230,UPTN-ACRD,UPTON,ACRD,,,,,,,,,,
231,UPTN-FIDL,UPTON,,,,,,,,,,,
232,UPTN-RVCR,UPTON,RVCR,,,,,,,,,,
233,UPTN-GBVL,UPTON,,,,,,,,,,,
235,MRCR-MRCR,MOORCROFT,MRCR,,,,,,,,,,
236,MRCR-CBCR,MOORCROFT,CBCR,,,,,,,,,,
237,MRCR-RKNK,MOORCROFT,RKNK,,,,,,,,,,
238,MRCR-OSRD,MOORCROFT,OSRD,,,,,,,,,,
239,CJCT,MOORCROFT,CJCT,,,,,,,,,,
240,MRCR-PJCT,MOORCROFT,PJCT,,,,,,,,,,
241,MRCR-HKAY,MOORCROFT,HKAY,,,,,,,,,,
242,MRCR-BRTH,MOORCROFT,BRTH,,,,,,,,,,
243,MRCR-PHVN,MOORCROFT,PHVN,,,,,,,,,,
244,MRCR-IKCR,MOORCROFT,IKCR,,,,,,,,,,
246,KAYC-SUSX,KAYCEE,,,,,,,,,,,
247,KAYC-LNBR,KAYCEE,,,,,,,,,,,
248,KAYC-KAYC,KAYCEE,,,,,,,,,,,
249,GSHL-DRCR,KAYCEE,,,,,,,,,,,
250,KAYC-BRNM,KAYCEE,,,,,,,,,,,
251,KAYC-MWTH,KAYCEE,,,,,,,,,,,
252,KAYC-NPRV,KAYCEE,,,,,,,,,,,
253,KAYC-BRKR,KAYCEE,,,,,,,,,,,
254,KAYC-LNTR,KAYCEE,,,,,,,,,,,
256,KAYC-GRCH,KAYCEE,,,,,,,,,,,
257,KAYC-KCEA,KAYCEE,,,,,,,,,,,
259,KAYC-PRCC,KAYCEE,,,,,,,,,,,
260,KAYC-NBNM,KAYCEE,,,,,,,,,,,
291,DADH,BAGGS,DAD HUT,,,,,,,,,,
294,POSN,BAGGS,POISON BUTTES,,,,,,,,,,
297,OSAG-SKUL,NEWCASTLE,SKUL,,,,,,,,,,
298,OSAG-CLSP,OSAGE,CLSP,,,,,,,,,,
299,HLTT-HLTT,HULETT,HLTT,,,,,,,,,,
300,HLTT-OSHO,HULETT,OSHO,,,,,,,,,,
301,HLTT-LTLM,HULETT,LTLM,,,,,,,,,,
302,ALZA,HULETT,ALZA,,,,,,,,,,
