ID,Exchange,RemoteName,CLLIcode,Description
861,CARPENTER,RT CRPN-RNCH RANCH,CRPNWYXCRS1,CRPN-RNCH
862,CARPENTER,MILR,CRPNWYXCRS1,CRPN-MILR
864,CRPN,RT CRPN-ARRD ARCOLA RD,CRPNWYXCRS1,CRPN-ARRD
865,CARPENTER,RT CRPN-RGTH RAGETH,CRPNWYXCRS1,CRPN-RGTH
873,CRPN,ELEMENT NOT FOUND,,Unidentified_30
877,CRPN,RT CRPN-DARY DAIRY,CRPNWYXCRS1,CRPN-DARY
878,CARPENTER,RT CRPN-ECPR EAST CARPENTER,CRPNWYXCRS1,CRPN-ECPR
880,CRPN,RT CRPN-BAMN BAUMAN,CRPNWYXCRS1,CRPN-BAMN
881,CARPENTER,CRPN,CRPNWYXCRS1,CRPN-CO
1081,ALBN,RT ALBN-MRDN MERIDEN,ALBN-MRDN,ALBN-MRDN
1083,ALBN,ELEMENT NOT FOUND,,Unidentified_31
1085,ALBN,ELEMENT NOT FOUND,,Unidentified_32
1087,ALBN,RT ALBN-MDWY MIDWAY,ALBN-MDWY,ALBN-MDWY
1088,ALBN,"RT ALBN-TORY TORRINGTON ""Y"",""ALBN-TORY",ALBN-TORY,
1089,ALBN,RT ALBN-MLLR MILLER,ALBN-MLLR,ALBN-MLLR
1090,ALBN,RT ALBN-GDPR GOLDEN PRAIRIE,ALBN-GDPR,ALBN-GDPR
1091,ALBN,RT ALBN-LRWK LERWICK,ALBN-LRWK,ALBN-LRWK
1094,ALBN,RT ALBN-SALB SOUTH ALBIN,ALBN-SALB,ALBN-SALB
1095,BRNS,RT BRNS-TWNS TOWNS,BRNS-TWNS,BRNS-TWNS
1096,BRNS,RT BRNS-KING KING,BRNS-KING,BRNS-KING
1097,BRNS,RT BRNS-LYON LYON,BRNS-LYON,BRNS-LYON
1098,BRNS,RT BRNS-HLDL HILLSDALE,BRNS-HLDL,BRNS-HLDL
1099,BRNS,RT BRNS-DRHM DURHAM,BRNS-DRHM,BRNS-DRHM
1100,BRNS,RT BRNS BURNS,BRNS,BRNS-CO
1101,BRNS,RT BRNS-MSRD MISSLE RD,BRNS-MSRD,BRNS-MSRD
1102,BRNS,RT BRNS-STRD STUCKEY RD,BRNS-STRD,BRNS-STRD
1103,BRNS,RT BRNS-THBN THUNDER BASIN,BRNS-THBN,BRNS-THBN
1104,GSHL,RT GSHL GAS HILLS,GSHL,GSHL-CO
